fecha,anio,mes,linea,afluencia
2006-01-03,2006,Enero,Línea 1,189170.0
2006-01-04,2006,Enero,Línea 1,203064.0
2006-01-05,2006,Enero,Línea 1,210237.0
2006-01-06,2006,Enero,Línea 1,192893.0
2006-01-07,2006,Enero,Línea 1,143525.0
2006-01-08,2006,Enero,Línea 1,33796.0
2006-01-09,2006,Enero,Línea 1,229030.0
2006-01-10,2006,Enero,Línea 1,226298.0
2006-01-11,2006,Enero,Línea 1,234944.0
2006-01-12,2006,Enero,Línea 1,231492.0
2006-01-13,2006,Enero,Línea 1,241192.0
2006-01-14,2006,Enero,Línea 1,162937.0
2006-01-15,2006,Enero,Línea 1,42586.0
2006-01-16,2006,Enero,Línea 1,231786.0
2006-01-17,2006,Enero,Línea 1,231904.0
2006-01-18,2006,Enero,Línea 1,237507.0
2006-01-19,2006,Enero,Línea 1,225403.0
2006-01-20,2006,Enero,Línea 1,264321.0
2006-01-21,2006,Enero,Línea 1,149979.0
2006-01-22,2006,Enero,Línea 1,43662.0
2006-01-23,2006,Enero,Línea 1,237101.0
2006-01-24,2006,Enero,Línea 1,241035.0
2006-01-25,2006,Enero,Línea 1,242176.0
2006-01-26,2006,Enero,Línea 1,234442.0
2006-01-27,2006,Enero,Línea 1,256966.0
2006-01-28,2006,Enero,Línea 1,174331.0
2006-01-29,2006,Enero,Línea 1,40194.0
2006-01-30,2006,Enero,Línea 1,240652.0
2006-01-31,2006,Enero,Línea 1,247201.0
2006-02-01,2006,Febrero,Línea 1,263177.0
2006-02-02,2006,Febrero,Línea 1,255060.0
2006-02-03,2006,Febrero,Línea 1,275459.0
2006-02-04,2006,Febrero,Línea 1,168352.0
2006-02-05,2006,Febrero,Línea 1,58308.0
2006-02-06,2006,Febrero,Línea 1,87575.0
2006-02-07,2006,Febrero,Línea 1,265032.0
2006-02-08,2006,Febrero,Línea 1,250662.0
2006-02-09,2006,Febrero,Línea 1,254693.0
2006-02-10,2006,Febrero,Línea 1,280476.0
2006-02-11,2006,Febrero,Línea 1,126088.0
2006-02-12,2006,Febrero,Línea 1,84877.0
2006-02-13,2006,Febrero,Línea 1,247671.0
2006-02-14,2006,Febrero,Línea 1,266156.0
2006-02-15,2006,Febrero,Línea 1,256268.0
2006-02-16,2006,Febrero,Línea 1,256308.0
2006-02-17,2006,Febrero,Línea 1,282165.0
2006-02-18,2006,Febrero,Línea 1,131809.0
2006-02-19,2006,Febrero,Línea 1,75803.0
2006-02-20,2006,Febrero,Línea 1,250253.0
2006-02-21,2006,Febrero,Línea 1,254881.0
2006-02-22,2006,Febrero,Línea 1,254406.0
2006-02-23,2006,Febrero,Línea 1,264868.0
2006-02-24,2006,Febrero,Línea 1,282951.0
2006-02-25,2006,Febrero,Línea 1,123730.0
2006-02-26,2006,Febrero,Línea 1,69803.0
2006-02-27,2006,Febrero,Línea 1,254536.0
2006-02-28,2006,Febrero,Línea 1,259217.0
2006-03-01,2006,Marzo,Línea 1,259980.0
2006-03-02,2006,Marzo,Línea 1,264532.0
2006-03-03,2006,Marzo,Línea 1,279445.0
2006-03-04,2006,Marzo,Línea 1,124522.0
2006-03-05,2006,Marzo,Línea 1,75927.0
2006-03-06,2006,Marzo,Línea 1,248514.0
2006-03-07,2006,Marzo,Línea 1,244845.0
2006-03-08,2006,Marzo,Línea 1,260881.0
2006-03-09,2006,Marzo,Línea 1,236308.0
2006-03-10,2006,Marzo,Línea 1,258038.0
2006-03-11,2006,Marzo,Línea 1,126926.0
2006-03-12,2006,Marzo,Línea 1,68872.0
2006-03-13,2006,Marzo,Línea 1,248294.0
2006-03-14,2006,Marzo,Línea 1,255373.0
2006-03-15,2006,Marzo,Línea 1,285318.0
2006-03-16,2006,Marzo,Línea 1,241954.0
2006-03-17,2006,Marzo,Línea 1,272541.0
2006-03-18,2006,Marzo,Línea 1,132342.0
2006-03-19,2006,Marzo,Línea 1,78422.0
2006-03-20,2006,Marzo,Línea 1,184687.0
2006-03-21,2006,Marzo,Línea 1,95384.0
2006-03-22,2006,Marzo,Línea 1,249384.0
2006-03-23,2006,Marzo,Línea 1,258453.0
2006-03-24,2006,Marzo,Línea 1,264796.0
2006-03-25,2006,Marzo,Línea 1,135783.0
2006-03-26,2006,Marzo,Línea 1,74280.0
2006-03-27,2006,Marzo,Línea 1,238797.0
2006-03-28,2006,Marzo,Línea 1,252936.0
2006-03-29,2006,Marzo,Línea 1,257619.0
2006-03-30,2006,Marzo,Línea 1,259030.0
2006-03-31,2006,Marzo,Línea 1,278663.0
2006-04-01,2006,Abril,Línea 1,143276.0
2006-04-02,2006,Abril,Línea 1,79537.0
2006-04-03,2006,Abril,Línea 1,243827.0
2006-04-04,2006,Abril,Línea 1,258401.0
2006-04-05,2006,Abril,Línea 1,261692.0
2006-04-06,2006,Abril,Línea 1,256412.0
2006-04-07,2006,Abril,Línea 1,275136.0
2006-04-08,2006,Abril,Línea 1,137976.0
2006-04-09,2006,Abril,Línea 1,79024.0
2006-04-10,2006,Abril,Línea 1,218236.0
2006-04-11,2006,Abril,Línea 1,210008.0
2006-04-12,2006,Abril,Línea 1,201516.0
2006-04-13,2006,Abril,Línea 1,111499.0
2006-04-14,2006,Abril,Línea 1,37144.0
2006-04-15,2006,Abril,Línea 1,82609.0
2006-04-16,2006,Abril,Línea 1,66429.0
2006-04-17,2006,Abril,Línea 1,222307.0
2006-04-18,2006,Abril,Línea 1,241168.0
2006-04-19,2006,Abril,Línea 1,243107.0
2006-04-20,2006,Abril,Línea 1,255463.0
2006-04-21,2006,Abril,Línea 1,242170.0
2006-04-22,2006,Abril,Línea 1,137526.0
2006-04-23,2006,Abril,Línea 1,69750.0
2006-04-24,2006,Abril,Línea 1,242790.0
2006-04-25,2006,Abril,Línea 1,261072.0
2006-04-26,2006,Abril,Línea 1,260538.0
2006-04-27,2006,Abril,Línea 1,266604.0
2006-04-28,2006,Abril,Línea 1,262531.0
2006-04-29,2006,Abril,Línea 1,151245.0
2006-04-30,2006,Abril,Línea 1,74722.0
2006-05-01,2006,Mayo,Línea 1,83547.0
2006-05-02,2006,Mayo,Línea 1,260466.0
2006-05-03,2006,Mayo,Línea 1,267404.0
2006-05-04,2006,Mayo,Línea 1,262319.0
2006-05-05,2006,Mayo,Línea 1,230525.0
2006-05-06,2006,Mayo,Línea 1,139458.0
2006-05-07,2006,Mayo,Línea 1,79083.0
2006-05-08,2006,Mayo,Línea 1,258364.0
2006-05-09,2006,Mayo,Línea 1,263114.0
2006-05-10,2006,Mayo,Línea 1,201092.0
2006-05-11,2006,Mayo,Línea 1,257098.0
2006-05-12,2006,Mayo,Línea 1,264931.0
2006-05-13,2006,Mayo,Línea 1,142616.0
2006-05-14,2006,Mayo,Línea 1,75995.0
2006-05-15,2006,Mayo,Línea 1,245119.0
2006-05-16,2006,Mayo,Línea 1,262642.0
2006-05-17,2006,Mayo,Línea 1,259908.0
2006-05-18,2006,Mayo,Línea 1,277007.0
2006-05-19,2006,Mayo,Línea 1,257295.0
2006-05-20,2006,Mayo,Línea 1,143455.0
2006-05-21,2006,Mayo,Línea 1,81791.0
2006-05-22,2006,Mayo,Línea 1,257104.0
2006-05-23,2006,Mayo,Línea 1,262822.0
2006-05-24,2006,Mayo,Línea 1,263970.0
2006-05-25,2006,Mayo,Línea 1,261120.0
2006-05-26,2006,Mayo,Línea 1,272917.0
2006-05-27,2006,Mayo,Línea 1,139932.0
2006-05-28,2006,Mayo,Línea 1,79719.0
2006-05-29,2006,Mayo,Línea 1,247303.0
2006-05-30,2006,Mayo,Línea 1,258295.0
2006-05-31,2006,Mayo,Línea 1,271133.0
2006-06-01,2006,Junio,Línea 1,259114.0
2006-06-02,2006,Junio,Línea 1,257572.0
2006-06-03,2006,Junio,Línea 1,147208.0
2006-06-04,2006,Junio,Línea 1,78282.0
2006-06-05,2006,Junio,Línea 1,262915.0
2006-06-06,2006,Junio,Línea 1,252865.0
2006-06-07,2006,Junio,Línea 1,263448.0
2006-06-08,2006,Junio,Línea 1,260139.0
2006-06-09,2006,Junio,Línea 1,259374.0
2006-06-10,2006,Junio,Línea 1,136513.0
2006-06-11,2006,Junio,Línea 1,79289.0
2006-06-12,2006,Junio,Línea 1,240553.0
2006-06-13,2006,Junio,Línea 1,251206.0
2006-06-14,2006,Junio,Línea 1,260498.0
2006-06-15,2006,Junio,Línea 1,254505.0
2006-06-16,2006,Junio,Línea 1,246785.0
2006-06-17,2006,Junio,Línea 1,132058.0
2006-06-18,2006,Junio,Línea 1,72049.0
2006-06-19,2006,Junio,Línea 1,241273.0
2006-06-20,2006,Junio,Línea 1,248721.0
2006-06-21,2006,Junio,Línea 1,233976.0
2006-06-22,2006,Junio,Línea 1,248260.0
2006-06-23,2006,Junio,Línea 1,246426.0
2006-06-24,2006,Junio,Línea 1,129682.0
2006-06-25,2006,Junio,Línea 1,75179.0
2006-06-26,2006,Junio,Línea 1,239172.0
2006-06-27,2006,Junio,Línea 1,241377.0
2006-06-28,2006,Junio,Línea 1,253603.0
2006-06-29,2006,Junio,Línea 1,250781.0
2006-06-30,2006,Junio,Línea 1,252631.0
2006-07-01,2006,Julio,Línea 1,128712.0
2006-07-02,2006,Julio,Línea 1,72299.0
2006-07-03,2006,Julio,Línea 1,240749.0
2006-07-04,2006,Julio,Línea 1,246484.0
2006-07-05,2006,Julio,Línea 1,254340.0
2006-07-06,2006,Julio,Línea 1,245354.0
2006-07-07,2006,Julio,Línea 1,250497.0
2006-07-08,2006,Julio,Línea 1,130988.0
2006-07-09,2006,Julio,Línea 1,72357.0
2006-07-10,2006,Julio,Línea 1,231318.0
2006-07-11,2006,Julio,Línea 1,254189.0
2006-07-12,2006,Julio,Línea 1,249462.0
2006-07-13,2006,Julio,Línea 1,251062.0
2006-07-14,2006,Julio,Línea 1,260993.0
2006-07-15,2006,Julio,Línea 1,136641.0
2006-07-16,2006,Julio,Línea 1,87638.0
2006-07-17,2006,Julio,Línea 1,241304.0
2006-07-18,2006,Julio,Línea 1,247182.0
2006-07-19,2006,Julio,Línea 1,246521.0
2006-07-20,2006,Julio,Línea 1,244299.0
2006-07-21,2006,Julio,Línea 1,245908.0
2006-07-22,2006,Julio,Línea 1,124914.0
2006-07-23,2006,Julio,Línea 1,76044.0
2006-07-24,2006,Julio,Línea 1,226204.0
2006-07-25,2006,Julio,Línea 1,249820.0
2006-07-26,2006,Julio,Línea 1,253392.0
2006-07-27,2006,Julio,Línea 1,249466.0
2006-07-28,2006,Julio,Línea 1,254200.0
2006-07-29,2006,Julio,Línea 1,135263.0
2006-07-30,2006,Julio,Línea 1,84494.0
2006-07-31,2006,Julio,Línea 1,260353.0
2006-08-01,2006,Agosto,Línea 1,274967.0
2006-08-02,2006,Agosto,Línea 1,270607.0
2006-08-03,2006,Agosto,Línea 1,252914.0
2006-08-04,2006,Agosto,Línea 1,265044.0
2006-08-05,2006,Agosto,Línea 1,132519.0
2006-08-06,2006,Agosto,Línea 1,84995.0
2006-08-07,2006,Agosto,Línea 1,247877.0
2006-08-08,2006,Agosto,Línea 1,259805.0
2006-08-09,2006,Agosto,Línea 1,264689.0
2006-08-10,2006,Agosto,Línea 1,269865.0
2006-08-11,2006,Agosto,Línea 1,277679.0
2006-08-12,2006,Agosto,Línea 1,164884.0
