stop_id,stop_name,stop_lat,stop_lon,zone_id,wheelchair_boarding
B_0200L1-TACUBAYA,Tacubaya,19.40251,-99.18764,0200L1-TACUBAYA,2
B_0200L1-OBSERVATORIO,Observatorio,19.39828,-99.2004,0200L1-OBSERVATORIO,1
B_0300L7-CAMPOMARTE1,Campo Marte,19.42664,-99.19944,0300L7-CAMPOMARTE1,1
B_0300L7-CAMPOMARTE0,Campo Marte,19.42703,-99.19946,0300L7-CAMPOMARTE0,1
B_0300L7-AUDITORIO1,Auditorio,19.42572,-99.1936,0300L7-AUDITORIO1,1
B_0300L7-AUDITORIO0,Auditorio,19.42609,-99.19339,0300L7-AUDITORIO0,1
B_0300L7-ANTROPO1,Antropología,19.42462,-99.18566,0300L7-ANTROPO1,1
B_0300L7-ANTROPO0,Antropología,19.42472,-99.18441,0300L7-ANTROPO0,1
B_0300L7-GANDHI1,Gandhi,19.42389,-99.18091,0300L7-GANDHI1,1
B_0300L7-GANDHI0,Gandhi,19.42407,-99.18014,0300L7-GANDHI0,1
B_0300L7-CHAPU1,Chapultepec,19.42359,-99.17467,0300L7-CHAPU1,1
B_0300L7-CHAPU0,Chapultepec,19.42406,-99.17427,0300L7-CHAPU0,1
B_0300L7-DIANA1,La Diana,19.42459,-99.17254,0300L7-DIANA1,1
B_0300L7-DIANA0,La Diana,19.42563,-99.17092,0300L7-DIANA0,1
B_0300L7-ANGEL1,El Ángel,19.42642,-99.16866,0300L7-ANGEL1,1
B_0300L7-ANGEL0,El Ángel,19.42665,-99.16876,0300L7-ANGEL0,1
B_0300L7-PALMA1,Ahuehuete,19.42804,-99.16518,0300L7-PALMA1,1
B_0300L7-PALMA0,Ahuehuete,19.42851,-99.16479,0300L7-PALMA0,1
B_0300L7-HAMBURGO1,Hamburgo,19.42918,-99.16279,0300L7-HAMBURGO1,1
B_0300L7-HAMBURGO0,Hamburgo,19.43005,-99.16153,0300L7-HAMBURGO0,1
B_0300L7-REFORMA1,Reforma,19.43111,-99.15854,0300L7-REFORMA1,1
B_0300L7-REFORMA0,Reforma,19.43143,-99.15871,0300L7-REFORMA0,1
B_0300L7-PARIS1,París,19.4324,-99.15597,0300L7-PARIS1,1
B_0300L7-PARIS0,París,19.4326,-99.15615,0300L7-PARIS0,1
B_0300L7-GTACOLON1,Amajac,19.43353,-99.15358,0300L7-GTACOLON1,1
