nombre,lat,lon,sistema,municipio_asignado
Isabel la Católica,19.42639,-99.13783,Metro/Metrobús,
Salto del Agua,19.42695,-99.14341,Metro/Metrobús,
Balderas,19.427,-99.14948,Metro/Metrobús,
Cuauhtémoc,19.42566,-99.1546,Metro/Metrobús,
Insurgentes,19.42365,-99.16329,Metro/Metrobús,
Sevilla,19.42185,-99.17112,Metro/Metrobús,
Chapultepec ,19.42075,-99.17642,Metro/Metrobús,
Juanacatlán,19.41295,-99.18198,Metro/Metrobús,
Tacubaya,19.40251,-99.18764,Metro/Metrobús,
Observatorio,19.39828,-99.2004,Metro/Metrobús,
Campo Marte,19.42664,-99.19944,Metro/Metrobús,
Campo Marte,19.42703,-99.19946,Metro/Metrobús,
Auditorio,19.42572,-99.1936,Metro/Metrobús,
Auditorio,19.42609,-99.19339,Metro/Metrobús,
Antropología,19.42462,-99.18566,Metro/Metrobús,
Antropología,19.42472,-99.18441,Metro/Metrobús,
Gandhi,19.42389,-99.18091,Metro/Metrobús,
Gandhi,19.42407,-99.18014,Metro/Metrobús,
Chapultepec,19.42359,-99.17467,Metro/Metrobús,
Chapultepec,19.42406,-99.17427,Metro/Metrobús,
La Diana,19.42459,-99.17254,Metro/Metrobús,
La Diana,19.42563,-99.17092,Metro/Metrobús,
El Ángel,19.42642,-99.16866,Metro/Metrobús,
El Ángel,19.42665,-99.16876,Metro/Metrobús,
Ahuehuete,19.42804,-99.16518,Metro/Metrobús,
Ahuehuete,19.42851,-99.16479,Metro/Metrobús,
Hamburgo,19.42918,-99.16279,Metro/Metrobús,
Hamburgo,19.43005,-99.16153,Metro/Metrobús,
Reforma,19.43111,-99.15854,Metro/Metrobús,
Reforma,19.43143,-99.15871,Metro/Metrobús,
París,19.4324,-99.15597,Metro/Metrobús,
París,19.4326,-99.15615,Metro/Metrobús,
Amajac,19.43353,-99.15358,Metro/Metrobús,
Amajac,19.434,-99.15316,Metro/Metrobús,
El Caballito,19.43503,-99.15039,Metro/Metrobús,
El Caballito,19.43607,-99.14906,Metro/Metrobús,
Hidalgo,19.43663,-99.1476,Metro/Metrobús,
Hidalgo,19.43787,-99.14638,Metro/Metrobús,
Glorieta Violeta,19.43955,-99.1441,Metro/Metrobús,
Glorieta Violeta,19.44155,-99.14234,Metro/Metrobús,
Garibaldi,19.44351,-99.13955,Metro/Metrobús,
Garibaldi,19.44486,-99.1387,Metro/Metrobús,
Glorieta Cuitláhuac,19.44725,-99.13564,Metro/Metrobús,
Glorieta Cuitláhuac,19.44947,-99.13399,Metro/Metrobús,
Tres Culturas,19.45072,-99.13262,Metro/Metrobús,
Tres Culturas,19.45126,-99.13258,Metro/Metrobús,
Peralvillo,19.45274,-99.13102,Metro/Metrobús,
Peralvillo,19.45371,-99.13081,Metro/Metrobús,
Mercado Beethoven,19.45714,-99.12928,Metro/Metrobús,
Mercado Beethoven,19.45761,-99.12918,Metro/Metrobús,
Misterios,19.46107,-99.12764,Metro/Metrobús,
Misterios,19.46239,-99.12732,Metro/Metrobús,
Clave,19.46441,-99.12648,Metro/Metrobús,
Clave ,19.46494,-99.12636,Metro/Metrobús,
Robles Domínguez,19.46684,-99.12557,Metro/Metrobús,
Robles Domínguez,19.46862,-99.12498,Metro/Metrobús,
Excélsior,19.47059,-99.12416,Metro/Metrobús,
Excélsior,19.47232,-99.1236,Metro/Metrobús,
Necaxa,19.47514,-99.12246,Metro/Metrobús,
Necaxa,19.47648,-99.12203,Metro/Metrobús,
Av. Talismán,19.47849,-99.1212,Metro/Metrobús,
Av. Talismán,19.47899,-99.12108,Metro/Metrobús,
